No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy channel Lock-Out/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,DTMF Own ID,5TONE Own ID,Scan List 1,Scan List 2,Scan List 3,Scan List 4,Scan List 5,Scan List 6,Scan List 7,Scan List 8,Ranging,Through Mode,APRS Report,APRS Report Channel
12,TS1 - F1ZJC - 92,431.77500,439.37500,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,Off,5
13,TS2 - F1ZJC - 92,431.77500,439.37500,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,Off,4
14,TS1 - F1ZTC - 75,145.77500,145.17500,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - Paris,,,,,,,,Off,Off,Off,1
15,TS2 - F1ZTC - 75,145.77500,145.17500,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - Paris,,,,,,,,Off,Off,On,4
16,TS1 - F1ZEI - 93,430.17500,439.57500,D-Digital,High,25K,Off,Off,11 - World FR,Group Call,11,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,F1ZEI - TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,Off,5
17,TS2 - F1ZEI - 93,430.17500,439.57500,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,F1ZEI - TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,On,4
18,TS1 - F1ZHK - 77,145.76250,145.16250,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,Off,4
19,TS2 - F1ZHK - 77,145.76250,145.16250,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,On,4
20,TS1 - F1ZJU - 77,430.56250,439.96250,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,Off,4
21,TS2 - F1ZJU - 77,430.56250,439.96250,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,On,6
