No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy channel Lock-Out/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,DTMF Own ID,5TONE Own ID,Scan List 1,Scan List 2,Scan List 3,Scan List 4,Scan List 5,Scan List 6,Scan List 7,Scan List 8,Ranging,Through Mode,APRS Report,APRS Report Channel
145,S23X,145.58750,145.58750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
148,TS1-Montfermeil,430.58750,439.98750,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
149,TS2-Montfermeil,430.58750,439.98750,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
152,TS1-Auneuil - 60,430.25000,439.65000,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
153,TS2-Auneuil - 60,430.25000,439.65000,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
154,TS1-Magnanville,430.27500,439.67500,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
155,TS2-Magnanville,430.27500,439.67500,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
158,TS1-Ville d Bois,430.01250,439.41250,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
159,TS2-Ville d Bois,430.01250,439.41250,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
160,TS1-St Genevieve,430.06250,439.46250,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
161,TS2-St Genevieve,430.06250,439.46250,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
162,TS1-Villebon -91,430.45000,439.85000,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
163,TS2-Villebon -91,430.45000,439.85000,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - IdF,,,,,,,,Off,Off,Off,1
164,TS1-La Rochelle,430.40000,439.80000,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
165,TS2-La Rochelle,430.40000,439.80000,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
166,TS1-Pic Neulos,439.95000,430.55000,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
167,TS2-Pic Neulos,439.95000,430.55000,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
168,TS1-Le Havre,439.80000,430.40000,D-Digital,High,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
169,TS2-Le Havre,439.80000,430.40000,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - France,,,,,,,,Off,Off,Off,1
170,TS1-LZ0DMR-Sofia,439.10000,431.50000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
171,TS2-LZ0DMR-Sofia,439.10000,431.50000,D-Digital,High,12.5K,Off,Off,2842 - Sofia,Group Call,2842,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
172,TS1-LZ0HAM-Botev,439.50000,431.90000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
173,TS2-LZ0HAM-Botev,439.50000,431.90000,D-Digital,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
176,TS1-LZ0DDF-Sofia,439.47500,431.87500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,1
177,TS2-LZ0DDF-Sofia,439.47500,431.87500,D-Digital,High,12.5K,Off,Off,2842 - Sofia,Group Call,2842,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,1
178,TS1-LZ0ATV-Sofia,439.42500,431.82500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,7
179,TS2-LZ0ATV-Sofia,439.42500,431.82500,D-Digital,High,12.5K,Off,Off,2842 - Sofia,Group Call,2842,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,On,7
180,TS1-LZ0SDR-Sofia,438.70000,431.10000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,1
181,TS2-LZ0SDR-Sofia,438.70000,431.10000,D-Digital,High,12.5K,Off,Off,2842 - Sofia,Group Call,2842,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,1
182,TS1-LZ7AA-Sofia,438.12500,430.52500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,1
183,TS2-LZ7AA-Sofia,438.12500,430.52500,D-Digital,High,12.5K,Off,Off,2842 - Sofia,Group Call,2842,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Sofia,,,,,,,,Off,Off,Off,1
184,TS1-LZ0DLC-Plovd,439.22500,431.62500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
185,TS2-LZ0DLC-Plovd,439.22500,431.62500,D-Digital,High,12.5K,Off,Off,2843 - Plovdiv,Group Call,2843,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,On,8
186,TS1-LZ0ZAF-Plovd,438.70000,431.10000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
187,TS2-LZ0ZAF-Plovd,438.70000,431.10000,D-Digital,High,12.5K,Off,Off,2843 - Plovdiv,Group Call,2843,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,On,8
188,TS1-LZ0SVV-Hasko,438.37500,430.77500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
189,TS2-LZ0SVV-Hasko,438.37500,430.77500,D-Digital,High,12.5K,Off,Off,2847 - Haskovo,Group Call,2847,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
190,TS1-LZ0DAF-Burga,438.45000,430.85000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
191,TS2-LZ0DAF-Burga,438.45000,430.85000,D-Digital,High,12.5K,Off,Off,2844 - Burgas,Group Call,2844,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,On,8
192,TS1-LZ0RDZ-Varna,439.40000,431.80000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group BG TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
193,TS2-LZ0RDZ-Varna,439.40000,431.80000,D-Digital,High,12.5K,Off,Off,2849 - Varna,Group Call,2849,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,8
195,TS1-UR0FUA,438.87500,431.27500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
196,TS2-UR0FUA,438.87500,431.27500,D-Digital,High,12.5K,Off,Off,2555 - UK NAT,Group Call,2555,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
197,TS1-RR7RAA,434.97500,433.37500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,15,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
198,TS2-RR7RAA,434.97500,433.37500,D-Digital,High,12.5K,Off,Off,950628 - RU Loca,Group Call,950628,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,15,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
199,TS1-RR7RAB,434.72500,433.12500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,5,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
200,TS2-RR7RAB,434.72500,433.12500,D-Digital,High,12.5K,Off,Off,950628 - RU Loca,Group Call,950628,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,5,2,Rx Group BG TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
201,CH-01 Simplex BG,433.45000,433.45000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,On,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
202,CH-02 Simplex BG,438.10000,438.10000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,On,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,DMR - Bulgarie,,,,,,,,Off,Off,Off,1
203,F1ZDL Saint-Mard,430.07500,439.47500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
204,F1ZUS2 Les Lilas,430.10000,145.00000,A-Analog,High,12.5K,110.9,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
205,F1ZUS7 Les Lilas,430.10000,439.00000,A-Analog,High,12.5K,Off,123.0,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
206,F5ZPA Paris,430.16250,439.56250,A-Analog,High,12.5K,Off,74.4,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
207,F5ZWH Nanterre,430.26250,439.66250,A-Analog,High,12.5K,Off,74.4,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
208,F5ZWI Creteil,430.32500,439.72500,A-Analog,High,12.5K,Off,74.4,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
209,F5ZPX Maurepas,431.82500,145.22500,A-Analog,High,12.5K,Off,77.0,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
210,F1ZGL Linas,432.52500,432.52500,A-Analog,High,12.5K,Off,82.5,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
211,F5ZBF Jurques,145.32500,144.72500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - FR,,,,,,,,Off,Off,Off,1
212,F5ZWC Jurques,430.02500,431.62500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - FR,,,,,,,,Off,Off,Off,1
215,LZ0WAG Sofia,145.35000,144.75000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
216,LZ0BGY - BG,439.00000,431.40000,A-Analog,High,12.5K,Off,79.7,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
217,LZ0BGM - Rila,439.30000,431.70000,A-Analog,High,12.5K,Off,79.7,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
225,LZ0DVB-B Botev,439.55000,431.95000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
226,LZ0SUN-B,438.42500,430.82500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
227,LZ0DAB-B,438.55000,430.95000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
228,LZ0DAM-B Konska,439.00000,431.40000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
229,LZ1KSP Plovdiv,438.80000,431.20000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
230,LZ0DAF-B Bourgas,438.45000,430.85000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
231,LZ0ZAF-B Plovdiv,438.70000,431.10000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
232,LZ0DAD-B Obzor,438.50000,430.90000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
233,LZ0MAI Sofia,439.57500,431.97500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
234,LZ0DBS-B Bourgas,439.60000,432.00000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
235,LZ0FSB Sofia,439.15000,431.55000,A-Analog,High,12.5K,Off,85.4,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - BG,,,,,,,,Off,Off,Off,1
240,HB9G,439.10000,431.50000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HB9 - SUISSE,,,,,,,,Off,Off,Off,1
241,HB9GE-1,439.27500,431.67500,A-Analog,High,12.5K,Off,88.5,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HB9 - SUISSE,,,,,,,,Off,Off,Off,1
242,HB9GE-2,439.42500,431.82500,A-Analog,High,12.5K,Off,67.0,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HB9 - SUISSE,,,,,,,,Off,Off,Off,1
243,TS1 - HB9GE-1,431.07500,438.67500,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HB9 - SUISSE,,,,,,,,Off,Off,Off,1
244,TS2 - HB9GE-1,431.07500,438.67500,D-Digital,High,12.5K,Off,Off,22811 - Suisse,Group Call,22811,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group HB9 TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HB9 - SUISSE,,,,,,,,Off,Off,Off,1
245,TS1 - HB9GE-2,430.95000,438.55000,D-Digital,High,12.5K,Off,Off,937 - Francophon,Group Call,937,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HB9 - SUISSE,,,,,,,,Off,Off,Off,1
